 INFO  Accepting connections at http://localhost:3001
 HTTP  6/2/2026 7:54:09 PM 127.0.0.1 GET /_next/static/chunks/022l1mngfo3aa.js
 HTTP  6/2/2026 7:54:09 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/2/2026 7:54:09 PM 127.0.0.1 GET /logo-dark.png
 HTTP  6/2/2026 7:54:09 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/firebase.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/stripe.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/shopify.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/paypal.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/openai.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/twilio.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/mongodb.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/postgresql.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/react.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/flutter.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/amazonaws.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/googlecloud.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/graphql.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/docker.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/meta.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/slack.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/algolia.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/mapbox.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 GET /brand-assets/integrations/agora.svg
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  6/2/2026 7:54:10 PM 127.0.0.1 Returned 200 in 4 ms
